card_id,slug,task,primary_concepts,published_test_count,red_gate_verified,frozen,comparative_status,card_sha256,prompt_sha256,stub_sha256,test_sha256,exclusion_reason
C1,card1-lru-cache,LRU cache,"state,recency,eviction,property model",7,true,true,valid,873ee87326311fa3012ef67c96bae6c2413a4f8db36b2bbfbaf2d1b27cdadace,9c132269ea5a903d9b2c263a5aaab4131467dc26f82530c86118117b98f1682c,52c24bd68574f9ba3e771150daf87ed8842dd00aa15aabc28d2ea27aae508795,f70dc3d346d47439ec310c6fc08594d0c9f121942665704b14eb47deaed506be,
C2,card2-interval-merge,Interval merge,"closed integer intervals,edge semantics,non-mutation",7,true,true,valid,b31e4ac0fc0d752154c5625b8e84064c271edb3f7ed797690972df84978886c0,356c48d13d78927fb083274d4f7df5c0ac38406149b13cb15309a52972aa550c,1c7950db267c7dc06b3fcac5d653f53e0ee91ccce03b3864ae254f4f0621ca00,8f9712d94c0d1e3bdd352e32b280e9011cc02b805ab3bdc55665312e6ad00cab,
C3,card3-bank-ledger,Bank ledger,"state machine,atomicity,invariants,history",6,true,true,valid,0c2db9c4c984a942bd4f0cd3a1ec746bd10511f9720931a4bf6e03cbd5488a81,bd70d57971aee79ffcfe2b09ba10f3179fca38caf81a4eccec18106320661659,a60a1bed85e5a3d7381e55670e439da231aa1ce9982843c206a619595fbc0c9f,9f07c75dbcb90d5ba4cc77b1fb870c871147b9cae3fb5c8dace33af9125728f4,
C4,card4-undo-stack,Undo stack,"immutable transitions,undo,redo,branching",5,true,true,valid,e649034b3b3e4d438df30bd6536a4673391eb6dd893e390a259edf7d01ab2d4e,78be7fbdc8e723c02319997b73919e1131536f2442aa9db521fb6c8f768e520e,4b1e32fec0a503944f66ef55e7482603deaa7a16f6eae55d0086e66bb8fd370d,802698f824ea3b6a5413266896e4dc7f189901de7c0fd285bd9ccea375a95c3e,
C5,card5-lru-class,Generic LRU class,"stateful API,generics,recency",9,true,true,valid,a821b55ec0bb501ef6eb7871daa3074b9c3100098b19036b9a1f4ff7b03d8484,de744fb160d62ae34929c3dc290b10b6eaa4003e77ca6c21df6bcc9df6cf6172,1e9ef3179cc2cfd8f5f94a2bc6ac64b850170b30333416a10cc2f8b003a6515e,1e286da11754256f971faa39614d8ecdec0c1e0f77b4ed9805871fe1b59fad9a,
C6,card6-interval-merge,Rich interval merge,"negative ranges,containment,duplicates,dense overlap",12,true,true,valid,7907504f32ec3733c7054a49b854364a8ea43fcf1743b8b581af47037fa0f773,81fabb5b27505dcd693f5ed9c5f5f97cd9cb2b7f20bb407df8372f443ff9bb86,72ac0d4952ad701021109f0762745152b0c9afe7255a9aebf04e8faeed784c53,210e79b75b7f4fd63e4a19d676e37d2455f9da529bac872ecb81175626de2505,
C7,card7-expression-evaluator,Expression evaluator,"parser,precedence,variables,syntax rejection",8,true,true,valid,c29466e736b9b2e55b9d96f4dbc28d04ba911ecc1dddad361ac49caf4c24c64d,d8ada3f9f386d130a50f3992946452f8215730067bcab832902d50156677bf55,6f7e93e8f1f76e1f30761ba51f17f9ce77a875e6502dc81be492842859876091,e1dd177db1d44e8ae38f302a5fefaf37146d6ebf23acfee294ea00b5d40fe534,
C8,card8-topological-batcher,Topological batcher,"dependency graph,cycles,stable ordering,determinism",9,true,true,valid,e3077e343b38f7c86604e8393aacaff323e5f7a58588ced87567260462871a9a,15c66e16810974a8eba6a0fd10a6b70bcec7efd2eff12845ad0d21744fe8c6f2,99c6a0147e635405ae0592d94a1b2aaed85b3b6d55a455515eeb3c53dd91db5d,2e53707f61e7abecd6c11e9fd7dedfba56c700f51da02261dcefbde3397e4109,
C9,card9-spreadsheet-engine,Spreadsheet engine,"formula parser,dependency graph,ranges,cycles,dependency evaluation",11,true,true,valid_with_known_public_test_gap,fd6edfcd4b8248426c8d5893a9b71e05db0ae84c5370ee1aa6daefa7e34bdfb1,b9caea08e3729b7a3b85aad1970334bae4f5c7074986f4c477df660371eea826,6a83e0fa22aee5150fc687564a17034c85d92dac9151e0a990aa97f962e87126,b896c107f91325040cd72a300f44763eeed944f4641e56bfbf10859445a2773e,"Public tests omit valid multi-letter cells, boolean rejection, and large-integer division precision; post-hoc probes separate Qwen and Gemma only on multi-letter cells"
C10,card10-master-coder,Glob matcher,"custom parser,wildcards,escaping,classes,Unicode",7,true,true,excluded,5a4c420cac01a1a728e0bf0a0fef7145742ca95f182450092e18ea3588a52415,d6187f51d3a984e74348cfbe9f6e20fbfc8e99478ace1e3386de533831022ae7,c08022da5fdf540682e62bae99173f2bae9ed8b5be482535d761d0f257fdf74a,8a2a86aac0af16c61df7a8052b35670a26c0a389c998c3caf8de50a3df73e597,"Slash semantics conflict across contract, fixed example, and property oracle; an escaped-backslash assertion also conflicts with the prose; published source normalizes Unicode glyph literals to escapes without changing runtime values"
